X,Y,OBJECTID,NAME,ADDRESS,USE_TYPE,WARD_ID,SCHOOL_SITE,POOL,POOL_NAME,CHILD_CARE,SENIOR_SERVICES,WEB_URL,PHONE,STATUS,XCOORD,YCOORD,ADDRID,FITNESS_CENTER
-76.99703098,38.88659283,119,William H. Rumsey Aquatic Center,635 NORTH CAROLINA AVENUE SE,AQUATIC CENTER,6,no,indoor,William H. Rumsey Aquatic Facility,,,http://dpr.dc.gov/page/recreation-centers,(202) 724-4495,Open,400257.79,135416.14,295159,No
-77.0310931,38.97027695,120,Fort Stevens RC Spray Park,1327 VAN BUREN STREET NW,SPRAY PARK,4,,spray park,,,,http://dpr.dc.gov/page/recreation-centers,(202) 541-3754,Open,397305.72,144706.25,290152,No
-77.07120052,38.92215805,121,Guy Mason RC Spray Park,3600 CALVERT STREET NW,SPRAY PARK,3,,spray park,,,,http://dpr.dc.gov/page/recreation-centers,(202) 727-7527,Open,393825.91,139366.57,295826,No
-76.92233051,38.89679408,122,H.D. Woodson Aquatic Center,540 55TH STREET NE,AQUATIC CENTER,7,,indoor,,,,http://dpr.dc.gov/page/recreation-centers,(202) 673-2097,Open,406737.85,136551.42,309633,No
-77.03029091,38.91796325,123,Harrison RC Spray Park,1330 V STREET NW,SPRAY PARK,1,,spray park,,,,http://dpr.dc.gov/page/recreation-centers,(202) 673-7760,Open,397373.31,138898.94,283986,No
-76.96263376,38.85861391,124,Hillcrest RC Spray Park,3100 DENVER STREET SE,SPRAY PARK,7,,spray park,,,,http://dpr.dc.gov/page/recreation-centers,(202) 645-9200,Open,403243.37,132310.93,296174,No
-76.98850305,38.9041252,125,Joseph H. Cole RC Spray Park,1299 NEAL STREET NE,SPRAY PARK,5,,spray park,,,,http://dpr.dc.gov/page/recreation-centers,(202) 442-9262,Open,400997.43,137362.43,294512,No
-77.02153875,38.90899757,126,Kennedy RC Spray Park,1401 7TH STREET NW,SPRAY PARK,6,,spray park,,,,http://dpr.dc.gov/page/recreation-centers,(202) 671-4794,Open,398132.08,137903.46,279127,No
-77.01279479,38.87502359,127,King Greenleaf RC Spray Park,201 N STREET SW,SPRAY PARK,6,,spray park,,,,http://dpr.dc.gov/page/recreation-centers,(202) 645-7454,Open,398889.94,134131.94,52917,No
-77.06699455,38.93371154,128,Macomb RC Spray Park,3409 MACOMB STREET NW,SPRAY PARK,3,,spray park,,,,http://dpr.dc.gov/page/recreation-centers,(202) 282-2199,Open,394191.58,140648.83,221115,No
-76.91231302,38.89177779,129,Marvin Gaye RC Spray Park,6201 BANKS PLACE NE,SPRAY PARK,7,,spray park,,,,http://dpr.dc.gov/page/recreation-centers,(202) 727-5432,Open,407607.38,135995.36,288795,No
-76.97913631,38.8978194,130,Rosedale Pool,1701 GALES STREET NE,POOL,6,,outdoor,,,,http://dpr.dc.gov/page/recreation-centers,(202) 397-1315,Open,401810.05,136662.58,307101,No
-76.9632055,38.88087936,131,Therapeutic Aquatic Center,3030 G STREET SE,AQUATIC CENTER,7,,indoor,,,,http://dpr.dc.gov/page/recreation-centers,(202) 645-5708,Open,403192.75,134782.54,288770,No
-76.97913631,38.8978194,132,Rosedale Community Center,1701 GALES STREET NE,RECREATION CENTER,6,,none,,,,http://dpr.dc.gov/page/recreation-centers,(202) 727-2591,Open,401810.05,136662.58,307101,Fitness Room
-76.94048721,38.90823638,133,Kenilworth Recreation Center,1300 44TH STREET NE,RECREATION CENTER,7,no,none,none,,,http://dpr.dc.gov/page/recreation-centers,(202) 258-6513,Open,405161.97,137820.44,294516,No
-77.00212189,38.83837593,134,Ballou Aquatic Center,3401 4TH STREET SE,AQUATIC CENTER,8,Ballou Senior High School,indoor,Ballou Aquatic Center,,,http://dpr.dc.gov/page/recreation-centers,(202) 645-3390,Open,399915.33,130176.29,294567,No
-76.99912882,38.87791242,135,Arthur Capper Community Center,1000 5TH STREET SE,RECREATION CENTER,6,,child,Lincoln Capper Children's Pool,,,http://dpr.dc.gov/page/recreation-centers,(202) 478-9260,Open,400075.79,134452.54,289437,Fitness Room
-77.02463291,38.91502876,136,Westminster Playground Spray Park,911 WESTMINSTER STREET NW,SPRAY PARK,1,,spray park,,,,http://dpr.dc.gov/page/recreation-centers,,Open,397862.2,138573.04,311977,No
-77.03762306,38.91003245,137,Stead Recreation Center Spray Park,1625 P STREET NW,SPRAY PARK,2,no,spray park,none,,,http://dpr.dc.gov/page/recreation-centers,(202) 673-4465,Open,396737.09,138018.79,295822,No
-77.01806675,38.96888232,138,Takoma CC Spray Park,300 VAN BUREN STREET NW,SPRAY PARK,4,no,spray park,Takoma CC Spray Park,,,http://dpr.dc.gov/page/recreation-centers,(202) 576-9284,Open,398435.64,144552.48,296168,No
-76.97356891,38.92704825,139,Langdon Park Spray Park,2860 MILLS AVENUE NE,SPRAY PARK,5,no,spray park,Langdon Park Spray Park,,,http://dpr.dc.gov/page/recreation-centers,(202) 576-8655,Open,402291.86,139907.77,310266,No
-76.9926023,38.93807178,140,Turkey Thicket RC Spray Park,1100 MICHIGAN AVENUE NE,SPRAY PARK,5,no,spray park,Turkey Thicket Aquatic Center,,,http://dpr.dc.gov/page/recreation-centers,(202) 576-9238,Open,400641.56,141130.75,74603,
-76.99011723,38.88354145,141,Watkins Spary Park,420 12TH STREET SE,SPRAY PARK,6,no,spray park,,,,http://dpr.dc.gov/page/recreation-centers,(202) 724-4468,,400867.92,135070.02,294486,No
